Computer Architecture,A,3
Data Structures and Algorithms,A,3
Database Systems,A,3
Introduction to Statistics,B-,3
Discrete Structure II,B,3
Introduction to Software Engineering,A,3
Object Oriented Programming,A,3
Web Development,A,3
Arabic (native speakers),A,3
Critical Thinking and Academic Writing,C,3
Linear Algebra,A,3
Programming I,B+,3
Calculus II,D,3
Discrete Structure I,B,3
Programming II,B,3
UAE Society,B-,3
Calculus I,C+,3
English learning and communication skills,C-,3
Environment Sciences and Sustainability,C+,3
Introduction to Computers,A,3
